Player,S/C,GP,GS,W,L,T,OT,SA,Svs,GA,Sv%,GAA,TOI,SO,G,A,P,PIM
Patrick Roy,L,247,246,151,94,0,,7143,6559,584,0.918,2.3,15205:18,23,0,11,11,54
Martin Brodeur,L,205,204,113,91,0,,5258,4830,428,0.919,2.02,12717:01,24,1,12,13,34
Marc-Andre Fleury,L,169,166,92,74,,0,4875,4440,435,0.911,2.56,10182:20,16,0,4,4,12
Grant Fuhr,R,150,147,92,50,1,,4207,3777,430,0.898,2.92,8825:11,6,0,14,14,24
Ed Belfour,L,161,156,88,68,0,,4476,4117,359,0.92,2.17,9943:24,14,0,1,1,80
Billy Smith,L,132,126,88,36,0,,3652,3306,348,0.905,2.73,7639:38,5,0,2,2,89
Ken Dryden,L,112,112,80,32,0,,3227,2953,274,0.915,2.41,6826:09,10,0,4,4,4
Mike Vernon,L,138,136,77,56,0,,3521,3154,367,0.896,2.68,8207:44,6,0,5,5,46
Chris Osgood,L,129,124,74,49,0,,3185,2918,267,0.916,2.09,7650:58,15,0,5,5,32
Jacques Plante,L,112,110,71,36,0,,2397,2790,235,--,2.12,6645:43,14,0,1,1,14
Andy Moog,L,132,125,68,57,1,,3423,3046,377,0.89,3.04,7443:24,4,0,4,4,33
Andrei Vasilevskiy,L,115,110,66,46,,0,3483,3203,280,0.92,2.41,6968:03,7,0,1,1,4
Dominik Hasek,L,119,113,65,49,0,,3283,3037,246,0.925,2.02,7316:53,14,0,3,3,44
Curtis Joseph,L,133,129,63,66,0,,3926,3599,327,0.917,2.42,8104:43,16,0,2,2,30
Henrik Lundqvist,L,130,130,61,67,,0,3871,3567,304,0.921,2.3,7935:25,10,0,1,1,0
Tom Barrasso,R,119,117,61,54,0,,3567,3218,349,0.902,3.01,6951:56,6,0,7,7,49
Turk Broda,L,101,100,60,39,0,,,0,211,--,1.98,6386:03,13,0,0,0,12
Tuukka Rask,L,104,104,57,46,,0,3234,2992,242,0.925,2.22,6540:42,7,0,2,2,2
Terry Sawchuk,L,106,103,54,47,0,,1888,2328,265,--,2.53,6288:21,12,0,0,0,26
Gerry Cheevers,L,88,88,53,34,0,,2462,2220,242,0.902,2.7,5387:12,8,0,1,1,37
Corey Crawford,L,96,94,52,42,,0,2916,2676,240,0.918,2.38,6052:46,5,0,2,2,2
Braden Holtby,L,97,96,50,46,,1,2888,2675,213,0.926,2.13,6012:47,7,0,4,4,8
Jonathan Quick,L,92,92,49,43,,0,2731,2514,217,0.921,2.31,5634:56,10,0,1,1,18
Glenn Hall,L,115,115,49,65,0,,3605,3285,320,0.911,2.79,6891:36,6,0,0,0,12
