Player,S/C,GP,GS,W,L,T,OT,SA,Svs,GA,Sv%,GAA,TOI,SO,G,A,P,PIM
Martin Brodeur,L,1266,1251,691,397,105,49,31709,28928,2781,0.912,2.24,74438:25,125,2,45,47,122
Marc-Andre Fleury,L,1036,1005,567,333,2,95,29434,26840,2594,0.912,2.6,59898:29,75,0,22,22,84
Patrick Roy,L,1029,1003,551,315,131,,28346,25800,2546,0.91,2.54,60214:34,66,0,45,45,262
Roberto Luongo,L,1044,1014,489,392,33,91,30924,28409,2515,0.919,2.52,59879:00,77,0,23,23,46
Ed Belfour,L,963,937,484,320,111,14,24750,22433,2317,0.906,2.5,55695:55,76,0,34,34,380
Henrik Lundqvist,L,887,871,459,310,,96,25610,23509,2101,0.918,2.43,51816:51,64,0,27,27,18
Curtis Joseph,L,943,916,454,352,90,6,26795,24279,2516,0.906,2.79,54054:03,51,0,31,31,126
Terry Sawchuk,L,971,955,445,336,171,,18396,16678,2385,--,2.5,57155:51,103,0,7,7,225
Jacques Plante,L,837,832,437,246,145,,22712,20889,1960,--,2.38,49513:08,82,0,8,8,92
Tony Esposito,R,886,874,423,306,152,,27324,24761,2563,0.906,2.93,52476:00,76,0,25,25,31
Sergei Bobrovsky,L,724,710,412,231,,56,21060,19255,1805,0.914,2.59,41758:49,45,0,12,12,30
Glenn Hall,L,906,899,407,326,164,,26822,24611,2223,--,2.5,53446:58,84,0,9,9,88
Grant Fuhr,R,868,829,403,295,114,,24371,21615,2756,0.887,3.38,48927:35,25,0,47,47,120
Chris Osgood,L,744,713,401,216,66,29,18629,16861,1768,0.905,2.49,42562:11,50,1,19,20,137
Jonathan Quick,L,792,775,398,287,,86,21314,19417,1897,0.911,2.48,45960:21,62,0,21,21,78
Ryan Miller,L,796,772,391,289,1,87,23694,21665,2029,0.914,2.64,46145:35,44,0,12,12,48
Dominik Hasek,L,735,714,389,223,82,13,20220,18648,1572,0.922,2.2,42836:22,81,0,19,19,170
Mike Vernon,L,782,742,385,274,92,,19998,17788,2210,0.889,2.98,44502:01,27,0,39,39,271
John Vanbiesbrouck,L,882,841,374,346,119,,24705,22203,2502,0.899,2.98,50454:36,40,0,35,35,310
Andy Moog,L,713,664,372,209,88,,19322,17225,2097,0.891,3.14,40130:46,28,0,24,24,230
Pekka Rinne,L,683,667,369,213,,75,19225,17627,1598,0.917,2.43,39413:29,60,1,14,15,56
Tom Barrasso,R,777,755,369,277,86,,22079,19694,2385,0.892,3.24,44135:38,38,0,48,48,437
Carey Price,L,712,700,361,261,,79,21059,19304,1755,0.917,2.51,42005:27,49,0,13,13,51
Evgeni Nabokov,L,697,683,353,227,29,57,18398,16768,1630,0.911,2.44,40151:34,59,1,15,16,118
Rogie Vachon,L,795,773,353,293,128,,22192,19882,2310,0.896,3.0,46206:47,51,0,10,10,47
Cam Ward,L,701,683,334,256,,88,20102,18259,1843,0.908,2.74,40318:46,27,1,12,13,48
Nikolai Khabibulin,L,799,777,333,334,58,39,22329,20258,2071,0.907,2.72,45606:40,46,0,18,18,134
Gump Worsley,L,860,848,333,348,149,,23814,21766,2398,--,2.87,50155:36,43,0,3,3,147
Harry Lumley,L,803,802,330,329,142,,4212,3812,2196,--,2.74,48038:07,71,0,0,0,93
Sean Burke,L,820,776,324,341,101,9,23293,21003,2290,0.902,2.96,46440:09,38,0,28,28,310
Miikka Kiprusoff,L,623,606,319,213,7,64,17114,15614,1500,0.912,2.49,36169:09,44,0,10,10,47
Craig Anderson,L,709,669,319,275,2,71,21762,19846,1916,0.912,2.86,40227:35,43,0,20,20,56
Kari Lehtonen,L,649,619,310,233,0,67,18920,17258,1662,0.912,2.71,36837:58,38,0,28,28,42
Andrei Vasilevskiy,L,504,494,309,153,,31,15112,13851,1262,0.917,2.56,29629:51,36,0,20,20,38
Tuukka Rask,L,564,544,308,165,,66,15575,14345,1230,0.921,2.28,32404:55,52,0,17,17,26
Billy Smith,L,679,642,305,233,105,,19260,17229,2031,0.895,3.18,38368:38,22,1,12,13,475
Turk Broda,L,629,628,304,222,102,,,,1608,--,2.53,38182:10,61,0,0,0,8
Olie Kolzig,L,719,692,303,297,63,24,20118,18233,1885,0.906,2.71,41669:39,35,0,17,17,107
Mike Richter,L,666,648,301,258,73,,19219,17379,1840,0.904,2.89,38184:56,24,0,11,11,34
Tomas Vokoun,R,700,669,300,288,35,43,20313,18625,1688,0.917,2.55,39693:47,51,0,23,23,125
Braden Holtby,L,513,501,299,143,,50,14881,13610,1271,0.915,2.59,29407:26,35,0,12,12,27
Mike Smith,L,670,645,299,263,,78,19589,17869,1720,0.912,2.7,38259:49,44,1,20,21,152
Connor Hellebuyck,L,534,525,298,178,,42,16234,14893,1341,0.917,2.6,31001:29,41,0,9,9,6
Frederik Andersen,L,499,485,298,128,,52,14562,13338,1224,0.916,2.55,28808:31,27,0,15,15,26
Ron Hextall,L,608,588,296,214,69,,16356,14633,1723,0.895,2.98,34738:37,23,1,32,33,569
Jaroslav Halak,L,581,555,295,189,,69,16394,15004,1390,0.915,2.5,33302:41,53,0,13,13,16
Mike Liut,L,663,644,293,271,74,,18880,16662,2218,0.883,3.49,38097:37,25,0,13,13,22
Ed Giacomin,L,610,599,290,209,96,,17124,15452,1672,0.902,2.82,35580:53,54,0,9,9,68
Semyon Varlamov,L,621,593,289,232,,71,18625,17053,1572,0.916,2.65,35629:29,41,0,8,8,24
Jose Theodore,R,648,612,286,254,30,39,17983,16348,1635,0.909,2.68,36606:06,33,1,16,17,40
Dan Bouchard,L,656,638,286,233,113,,18746,16683,2063,0.89,3.27,37909:43,27,0,28,28,255
Tiny Thompson,L,553,553,284,194,75,,,,1179,--,2.07,34175:20,81,0,1,1,0
Brian Elliott,L,543,496,279,167,,54,14251,12961,1290,0.909,2.57,30140:20,45,0,11,11,12
Marty Turco,L,543,516,275,167,26,40,13447,12231,1216,0.91,2.36,30955:27,41,0,22,22,168
Bernie Parent,L,608,590,271,198,119,,17562,16069,1493,0.915,2.55,35065:00,54,0,12,12,116
Kelly Hrudey,L,677,625,271,265,88,,20311,18137,2174,0.893,3.43,38058:42,17,0,16,16,173
Gilles Meloche,R,788,757,270,351,131,,23893,21138,2755,0.885,3.65,45322:14,20,0,22,22,109
Don Beaupre,L,666,620,268,277,75,,18674,16523,2151,0.885,3.46,37344:54,17,0,8,8,268
Felix Potvin,L,635,620,266,260,85,,17864,16170,1694,0.905,2.76,36766:30,32,0,16,16,82
Jean-Sebastien Giguere,L,597,557,262,216,25,50,16325,14902,1423,0.913,2.53,33718:36,38,0,7,7,98
Corey Crawford,L,488,474,260,162,,53,13924,12778,1146,0.918,2.45,28119:26,26,0,9,9,18
Ken Dryden,L,397,389,258,57,74,,11083,10213,870,0.922,2.24,23328:54,46,0,19,19,12
Devan Dubnyk,L,542,514,253,206,,54,15532,14194,1338,0.914,2.61,30792:43,33,0,8,8,46
Frank Brimsek,L,514,514,252,182,80,,,,1403,--,2.7,31229:40,40,0,0,0,6
Cam Talbot,L,505,483,251,185,,44,14638,13368,1271,0.913,2.65,28809:50,32,0,7,7,39
Johnny Bower,L,552,537,250,192,90,,14658,13513,1336,--,2.51,31988:15,37,0,3,3,36
Jimmy Howard,L,543,523,246,196,,70,15313,13970,1343,0.912,2.62,30754:53,24,0,9,9,36
Pete Peeters,L,489,467,246,156,51,,12516,11089,1427,0.886,3.09,27704:40,21,0,14,14,177
George Hainsworth,L,465,465,246,144,74,,,,938,--,1.93,29089:07,94,0,0,0,4
Kirk McLean,L,612,578,245,262,72,,16867,14963,1904,0.887,3.26,35043:56,22,0,23,23,58
Antti Niemi,L,464,443,242,140,,57,12712,11589,1123,0.912,2.57,26265:38,36,0,12,12,8
Bill Ranford,L,647,613,240,279,76,,18272,16230,2042,0.888,3.41,35928:36,15,0,24,24,65
Jocelyn Thibault,L,586,551,238,238,68,7,15706,14198,1508,0.904,2.75,32893:06,39,0,6,6,18
Martin Jones,L,466,449,236,171,,36,12643,11446,1199,0.905,2.72,26489:54,30,0,4,4,4
Eddie Johnston,L,592,569,236,256,78,,17740,15888,1852,0.896,3.25,34175:23,32,0,10,10,26
Rejean Lemelin,L,506,461,236,161,63,,13879,12270,1609,0.884,3.46,27912:37,12,0,17,17,109
Jacob Markstrom,L,512,495,234,202,,59,14551,13229,1322,0.909,2.69,29452:47,23,0,19,19,42
Glenn Resch,L,571,524,231,224,82,,16164,14403,1761,0.891,3.28,32214:34,26,0,16,16,70
Martin Biron,L,508,473,230,191,25,27,13893,12646,1247,0.91,2.61,28612:20,28,0,14,14,81
Dwayne Roloson,L,606,556,227,257,42,40,16942,15390,1552,0.908,2.72,34296:07,29,0,14,14,96
Gerry Cheevers,L,418,407,227,104,76,,11817,10643,1174,0.901,2.89,24374:37,26,0,11,11,214
Ken Wregget,L,575,524,225,248,53,,16662,14746,1916,0.885,3.63,31644:23,9,0,24,24,182
Ben Bishop,L,413,397,222,128,,36,11360,10457,903,0.921,2.32,23316:38,33,0,12,12,34
Ilya Bryzgalov,L,465,445,221,162,0,54,13011,11870,1141,0.912,2.58,26550:43,34,0,12,12,20
John Ross Roach,L,491,491,219,204,68,,,,1246,--,2.46,30405:06,58,0,1,1,0
Arturs Irbe,L,568,537,218,236,79,,15033,13520,1513,0.899,2.83,32064:40,33,0,9,9,90
James Reimer,L,509,464,216,181,,64,14890,13550,1340,0.91,2.88,27885:25,30,0,3,3,20
Greg Millen,R,604,582,215,284,89,,18002,15721,2281,0.873,3.88,35299:14,17,0,18,18,72
Tim Thomas,L,426,408,214,145,0,49,12822,11795,1027,0.92,2.52,24446:10,31,0,7,7,43
Tommy Salo,L,526,507,210,225,73,,13591,12295,1296,0.905,2.55,30435:29,37,0,7,7,67
Don Edwards,L,459,439,208,155,74,,12828,11380,1448,0.887,3.32,26141:56,16,0,15,15,42
Bill Durnan,L,383,383,208,112,62,,,,901,--,2.36,22944:51,34,0,1,1,9
Roger Crozier,R,515,496,206,194,72,,14869,13423,1446,0.903,3.04,28540:41,29,0,3,3,42
Steve Mason,R,476,458,205,183,,64,13559,12348,1211,0.911,2.7,26947:01,34,0,12,12,22
Rick Wamsley,L,407,391,204,131,46,,10823,9536,1287,0.881,3.34,23096:28,12,0,9,9,52
Dave Kerr,R,430,427,204,149,76,,,,954,--,2.14,26807:22,51,0,0,0,0
Jake Allen,L,441,419,200,174,,43,12372,11225,1148,0.907,2.77,24898:56,26,0,6,6,14
Patrick Lalime,L,444,412,200,174,32,16,11370,10285,1085,0.905,2.58,25241:15,35,0,6,6,58
Lorne Chabot,L,413,409,200,146,62,,,,857,--,2.02,25432:20,71,0,0,0,10
John Gibson,L,489,478,198,211,,62,14961,13614,1348,0.91,2.9,27916:15,24,0,6,6,68
Jonas Hiller,R,404,375,197,140,,37,11222,10262,960,0.914,2.55,22600:09,23,0,8,8,2
Niklas Backstrom,L,413,394,196,144,,50,11392,10417,975,0.914,2.49,23479:51,28,0,5,5,22
Alec Connell,R,418,417,193,156,68,,,,836,--,1.92,26175:44,81,0,0,0,4
Gilles Gilbert,L,416,397,192,143,60,,11062,9772,1290,0.883,3.27,23643:03,18,0,9,9,105
Guy Hebert,L,491,467,191,222,56,,14400,13093,1307,0.909,2.81,27888:08,28,0,6,6,22
Juuse Saros,L,379,362,190,134,,38,11398,10441,957,0.916,2.64,21731:52,26,0,8,8,6
Cesare Maniago,L,568,545,190,257,97,,17985,16212,1773,0.901,3.27,32542:15,30,0,4,4,71
Clint Benedict,L,362,362,189,142,28,,,,860,--,2.32,22271:05,57,0,0,0,9
Darcy Kuemper,L,406,385,187,137,,51,11542,10548,996,0.914,2.6,22962:40,32,0,5,5,36
Manny Legace,L,365,337,187,99,18,23,9151,8342,809,0.912,2.41,20139:46,24,0,9,9,12
Ron Tugnutt,L,537,489,186,239,62,,14200,12703,1497,0.895,3.05,29482:05,26,0,7,7,12
Bob Sauve,L,420,386,182,154,54,,11050,9673,1377,0.875,3.49,23662:14,8,0,15,15,57
Daren Puppa,R,429,407,179,161,54,,11676,10472,1204,0.897,3.03,23814:35,19,0,18,18,48
Petr Mrazek,L,412,381,175,168,,39,11586,10506,1081,0.907,2.82,23028:45,25,0,5,5,32
Bob Essensa,L,446,391,173,176,47,,12099,10829,1270,0.895,3.15,24215:50,18,0,15,15,26
Gary Smith,L,531,510,173,256,74,,15779,14104,1675,0.894,3.4,29577:48,26,0,7,7,179
Cory Schneider,L,410,389,171,159,,58,11513,10568,945,0.918,2.43,23304:25,26,0,9,9,4
Byron Dafoe,L,415,399,171,170,56,,10897,9846,1051,0.904,2.69,23478:39,26,0,8,8,68
Roy Worters,L,484,484,171,230,82,,,,1145,--,2.28,30161:54,67,0,0,0,0
Jon Casey,L,425,384,170,157,55,,11153,9907,1246,0.888,3.22,23246:43,16,0,13,13,126
Glen Hanlon,R,476,423,167,202,61,,13400,11839,1561,0.884,3.61,25976:26,13,0,11,11,210
Jeff Hackett,L,500,465,166,244,56,,13873,12512,1361,0.902,2.9,28124:10,26,0,9,9,62
Glenn Healy,L,437,396,166,190,47,,12041,10680,1361,0.887,3.37,24253:14,13,0,15,15,93
Jonathan Bernier,L,404,363,165,163,,40,11662,10640,1022,0.912,2.77,22104:37,18,0,8,8,14
Stephane Fiset,L,390,365,164,153,44,,11078,9964,1114,0.899,3.07,21784:45,16,0,12,12,38
Thomas Greiss,L,368,323,162,130,,37,10160,9258,903,0.911,2.77,19568:27,16,0,4,4,16
Philipp Grubauer,L,358,325,162,132,,32,9490,8626,864,0.909,2.63,19711:10,22,0,6,6,6
Johan Hedberg,L,373,329,161,143,14,22,9918,8941,977,0.901,2.82,20758:10,22,0,10,10,96
Jim Henry,L,405,404,161,174,69,,,,1150,--,2.84,24263:43,28,0,0,0,0
Michel Larocque,L,312,293,160,89,45,,8307,7329,978,0.882,3.34,17592:05,17,0,18,18,18
Roman Turek,R,328,318,159,115,43,,7886,7152,734,0.907,2.31,19094:23,27,0,12,12,30
Peter Budaj,L,368,329,158,132,,40,9451,8542,909,0.904,2.7,20215:38,18,0,11,11,20
Ondrej Pavelec,L,398,374,156,167,,48,11494,10425,1069,0.907,2.88,22302:40,18,0,6,6,12
Jordan Binnington,L,307,299,154,108,,34,8912,8080,832,0.907,2.81,17794:37,17,0,7,7,59
Pat Riggin,L,350,330,153,120,52,,9399,8264,1135,0.879,3.43,19827:45,11,0,8,8,41
Charlie Hodge,L,358,342,153,130,62,,9543,8649,924,--,2.7,20499:24,24,0,0,0,10
Robin Lehner,L,364,345,152,141,,49,11131,10202,929,0.917,2.71,20583:21,17,0,6,6,36
Chris Terreri,L,406,360,151,172,43,,10618,9475,1143,0.892,3.07,22368:18,9,0,13,13,37
Jim Rutherford,L,457,442,151,227,59,,13066,11491,1575,0.879,3.66,25850:35,14,0,15,15,62
Linus Ullmark,L,270,260,150,80,,25,7933,7285,649,0.918,2.5,15572:33,11,1,4,5,12
Mike Palmateer,R,356,345,149,138,52,,10605,9422,1183,0.888,3.53,20085:10,17,0,25,25,118
Phil Myre,L,439,418,149,198,76,,12801,11320,1481,0.884,3.53,25182:50,14,0,10,10,99
Tim Cheveldae,L,340,321,149,136,37,,9529,8413,1116,0.883,3.49,19171:18,10,0,16,16,18
Matt Murray,L,274,266,147,87,,24,8074,7349,725,0.91,2.8,15542:36,15,0,5,5,10
Igor Shesterkin,L,239,234,146,73,,18,7162,6586,577,0.92,2.49,13877:16,16,0,3,3,12
Wayne Stephenson,L,328,304,146,103,50,,8655,7718,937,0.892,3.07,18308:05,14,0,3,3,43
Denis Herron,L,462,428,146,203,76,,14254,12676,1578,0.889,3.71,25551:25,10,0,9,9,89
Ray Emery,L,287,252,145,86,0,28,7432,6735,697,0.906,2.7,15487:41,16,0,4,4,79
Alexandar Georgiev,L,276,262,145,92,,22,7962,7213,751,0.906,2.9,15513:59,15,0,8,8,6
