Player,Season,Team,S/C,GP,GS,W,L,T,OT,SA,Svs,GA,Sv%,GAA,TOI,SO,G,A,P,PIM
Connor Hellebuyck,20242025,WPG,L,29,29,23,5,,1,832,772,60,0.928,2.06,1744:18,4,0,0,0,0
Jacob Markstrom,20242025,NJD,L,27,27,19,6,,2,659,602,57,0.914,2.11,1618:15,3,0,0,0,0
Jake Oettinger,20242025,DAL,L,27,27,17,9,,1,685,623,62,0.909,2.38,1560:26,1,0,1,1,0
Filip Gustavsson,20242025,MIN,L,25,25,16,6,,3,726,670,56,0.923,2.25,1490:06,2,1,0,1,0
Andrei Vasilevskiy,20242025,TBL,L,27,27,16,10,,1,721,659,63,0.914,2.39,1581:21,2,0,0,0,4
Adin Hill,20242025,VGK,L,23,23,16,5,,2,613,554,59,0.904,2.63,1347:28,2,0,0,0,0
Sergei Bobrovsky,20242025,FLA,L,24,24,16,7,,1,641,574,67,0.895,2.8,1433:39,1,0,0,0,0
Logan Thompson,20242025,WSH,R,18,18,14,2,,2,511,468,43,0.916,2.38,1086:01,0,0,0,0,0
Kevin Lankinen,20242025,VAN,L,23,23,14,5,,4,645,585,60,0.907,2.61,1381:28,3,0,0,0,0
Pyotr Kochetkov,20242025,CAR,L,22,22,14,7,,0,538,484,54,0.9,2.51,1290:46,1,0,3,3,2
Sam Montembeault,20242025,MTL,L,29,28,13,14,,2,765,689,76,0.901,2.9,1572:21,3,0,0,0,0
Stuart Skinner,20242025,EDM,L,24,24,13,8,,3,640,572,68,0.894,2.89,1412:00,1,0,0,0,0
Jeremy Swayman,20242025,BOS,L,26,26,13,10,,3,683,608,75,0.89,2.93,1536:30,2,0,0,0,0
Linus Ullmark,20242025,OTT,L,23,22,12,7,,2,602,551,51,0.915,2.38,1284:16,3,0,1,1,0
Joey Daccord,20242025,SEA,L,23,23,12,9,,2,649,592,57,0.912,2.51,1361:29,1,0,0,0,0
Dustin Wolf,20242025,CGY,L,18,18,11,5,,2,558,509,49,0.912,2.7,1090:12,2,0,3,3,2
Igor Shesterkin,20242025,NYR,L,26,26,11,14,,1,804,730,74,0.908,3.06,1450:16,1,0,0,0,2
Ukko-Pekka Luukkonen,20242025,BUF,L,26,26,11,11,,3,713,640,73,0.898,2.95,1485:44,1,0,1,1,0
Ilya Sorokin,20242025,NYI,L,26,26,11,11,,4,732,657,75,0.898,2.96,1522:48,1,0,0,0,2
Elvis Merzlikins,20242025,CBJ,L,23,23,11,9,,3,645,574,71,0.89,3.09,1380:51,1,0,0,0,2
David Rittich,20242025,LAK,L,20,18,11,8,,0,397,352,45,0.887,2.55,1059:16,0,0,0,0,2
Mackenzie Blackwood,20242025,"SJS,COL",L,24,22,10,10,,3,734,673,62,0.917,2.75,1355:02,1,0,0,0,0
Joseph Woll,20242025,TOR,L,16,15,10,6,,0,439,399,40,0.909,2.57,932:20,1,0,0,0,0
Charlie Lindgren,20242025,WSH,R,18,18,10,8,,0,469,422,48,0.9,2.69,1068:49,0,0,0,0,0
Anthony Stolarz,20242025,TOR,L,17,17,9,5,,2,480,445,35,0.927,2.15,976:19,1,0,0,0,0
Lukas Dostal,20242025,ANA,L,22,21,9,10,,3,691,631,60,0.913,2.75,1307:51,1,0,0,0,0
Darcy Kuemper,20242025,LAK,L,17,17,9,2,,5,443,403,41,0.91,2.43,1012:46,1,0,0,0,0
Ilya Samsonov,20242025,VGK,L,13,13,9,3,,1,384,348,36,0.906,2.74,786:56,1,0,0,0,2
Jordan Binnington,20242025,STL,L,27,26,9,14,,3,724,648,76,0.895,2.93,1557:35,2,0,0,0,2
Alexandar Georgiev,20242025,"COL,SJS",L,22,21,9,10,,0,540,471,69,0.872,3.52,1174:47,0,0,1,1,0
Karel Vejmelka,20242025,UTA,R,21,19,8,9,,2,576,529,47,0.918,2.32,1216:15,0,0,0,0,0
Joel Hofer,20242025,STL,L,13,12,8,3,,1,347,314,33,0.905,2.75,721:07,1,0,1,1,2
Juuse Saros,20242025,NSH,L,29,29,8,15,,6,815,736,79,0.903,2.81,1686:06,3,0,1,1,2
Calvin Pickard,20242025,EDM,L,13,12,8,4,,0,305,274,31,0.898,2.51,740:13,0,0,0,0,0
Justus Annunen,20242025,"COL,NSH",L,15,12,8,5,,0,320,286,34,0.894,2.83,721:01,0,0,0,0,0
Tristan Jarry,20242025,PIT,L,17,17,8,6,,2,495,438,58,0.885,3.58,972:36,0,0,0,0,2
Samuel Ersson,20242025,PHI,L,18,17,8,6,,2,424,373,51,0.88,3.14,974:08,1,0,0,0,0
Petr Mrazek,20242025,CHI,L,22,22,7,13,,1,614,551,63,0.897,3.09,1222:22,0,0,0,0,0
Joonas Korpisalo,20242025,BOS,L,13,12,7,4,,1,325,291,34,0.895,2.71,754:02,2,0,0,0,0
Cam Talbot,20242025,DET,L,19,18,6,9,,2,541,490,51,0.906,2.98,1028:26,1,0,0,0,0
Marc-Andre Fleury,20242025,MIN,L,11,10,6,3,,1,283,254,29,0.898,2.81,619:42,0,0,0,0,0
Alex Lyon,20242025,DET,L,13,11,6,5,,0,330,296,34,0.897,2.91,702:03,1,0,0,0,2
Dan Vladar,20242025,CGY,L,18,18,6,7,,5,500,445,55,0.89,3.02,1092:02,2,0,1,1,0
Alex Nedeljkovic,20242025,PIT,L,15,14,6,5,,3,436,388,48,0.89,3.18,904:58,0,0,0,0,0
Spencer Knight,20242025,FLA,L,14,13,6,6,,1,337,299,38,0.887,2.87,793:06,1,0,1,1,0
Connor Ingram,20242025,UTA,L,13,13,6,4,,3,334,291,43,0.871,3.61,714:29,0,0,0,0,2
John Gibson,20242025,ANA,L,12,12,5,5,,1,352,320,33,0.909,2.93,674:55,0,0,0,0,0
Scott Wedgewood,20242025,"NSH,COL",L,11,9,5,4,,1,293,266,27,0.908,2.69,601:26,1,0,0,0,0
Jonathan Quick,20242025,NYR,L,12,9,5,4,,0,301,273,28,0.907,2.69,625:10,2,0,0,0,2
Arvid Soderblom,20242025,CHI,L,16,14,5,9,,1,451,409,42,0.907,2.78,907:58,0,0,0,0,0
Jake Allen,20242025,NJD,L,12,12,5,6,,1,329,296,34,0.9,2.89,704:47,2,0,0,0,0
Casey DeSmith,20242025,DAL,L,10,8,4,4,,0,234,213,21,0.91,2.41,521:46,1,0,0,0,2
Jonas Johansson,20242025,TBL,L,8,7,4,2,,1,250,225,25,0.9,3.36,447:01,1,0,0,0,0
Anton Forsberg,20242025,OTT,L,11,11,4,6,,0,271,241,30,0.889,2.95,610:48,2,0,0,0,0
Ivan Fedotov,20242025,PHI,L,10,10,4,4,,1,260,228,32,0.877,3.48,550:57,0,0,0,0,0
Philipp Grubauer,20242025,SEA,L,14,14,4,10,,0,395,345,50,0.873,3.66,820:05,0,0,0,0,0
Aleksei Kolosov,20242025,PHI,L,13,10,4,7,,1,314,273,41,0.869,3.49,705:13,0,0,0,0,0
Frederik Andersen,20242025,CAR,L,4,4,3,1,,0,101,95,6,0.941,1.48,242:26,0,0,0,0,0
Joel Blomqvist,20242025,PIT,L,8,7,3,5,,0,261,236,25,0.904,3.6,416:13,0,0,0,0,0
Eric Comrie,20242025,WPG,L,8,8,3,5,,0,244,220,24,0.902,3.05,472:21,0,0,0,0,0
Semyon Varlamov,20242025,NYI,L,10,10,3,4,,3,262,233,29,0.889,2.89,602:24,0,0,0,0,0
Vitek Vanecek,20242025,SJS,L,14,13,3,8,,1,409,362,47,0.885,3.84,733:53,0,0,1,1,0
Daniil Tarasov,20242025,CBJ,L,10,10,3,6,,1,294,252,42,0.857,4.23,595:38,0,0,1,1,0
Spencer Martin,20242025,CAR,L,9,7,3,4,,1,175,148,27,0.846,3.89,415:59,1,0,0,0,0
Jaxson Stauber,20242025,UTA,L,3,3,2,0,,1,83,77,6,0.928,1.96,183:49,1,0,0,0,0
Dustin Tokarski,20242025,CAR,L,3,3,2,1,,0,75,68,7,0.907,2.35,179:06,0,0,0,0,0
Leevi Meriläinen,20242025,OTT,L,3,2,2,1,,0,70,63,7,0.9,2.68,156:32,0,0,0,0,0
Thatcher Demko,20242025,VAN,L,6,6,2,1,,3,173,152,21,0.879,3.43,367:47,0,0,0,0,0
Devon Levi,20242025,BUF,L,8,7,2,6,,0,225,197,28,0.876,3.97,422:47,0,0,0,0,0
Dennis Hildeby,20242025,TOR,L,3,3,2,1,,0,88,77,11,0.875,3.68,179:10,0,0,0,0,0
Cayden Primeau,20242025,MTL,L,11,7,2,3,,1,250,209,41,0.836,4.7,523:42,0,0,0,0,2
Jakub Dobes,20242025,MTL,L,1,1,1,0,,0,34,34,0,1.0,0.0,59:44,1,0,0,0,0
Erik Portillo,20242025,LAK,L,1,1,1,0,,0,29,28,1,0.966,1.02,58:37,0,0,0,0,0
Yaroslav Askarov,20242025,SJS,R,5,5,1,2,,2,153,140,13,0.915,2.62,298:00,0,0,1,1,0
Jet Greaves,20242025,CBJ,L,4,4,1,1,,2,127,113,14,0.89,3.48,241:38,0,0,0,0,0
James Reimer,20242025,"ANA,BUF",L,8,6,1,4,,1,188,167,21,0.888,3.04,414:27,0,0,0,0,0
Matt Murray,20242025,TOR,L,2,2,1,1,,0,58,51,7,0.879,3.54,118:39,0,0,0,0,0
Ville Husso,20242025,DET,L,8,7,1,4,,2,179,157,22,0.877,3.47,380:34,0,0,0,0,0
Sebastian Cossa,20242025,DET,L,1,0,1,0,,0,14,12,2,0.857,2.67,45:00,0,0,0,0,0
Arturs Silovs,20242025,VAN,L,7,6,1,4,,1,163,138,25,0.847,4.11,365:00,0,0,0,0,0
Mads Sogaard,20242025,OTT,L,2,1,1,1,,0,40,32,8,0.8,5.24,91:33,0,0,0,0,2
Akira Schmid,20242025,VGK,L,1,0,0,0,,0,12,12,0,1.0,0.0,33:25,0,0,0,0,0
Marcus Hogberg,20242025,NYI,L,3,1,0,1,,0,58,55,3,0.948,1.93,93:24,0,0,0,0,0
Trent Miner,20242025,COL,L,1,0,0,0,,0,13,12,1,0.923,1.72,34:58,0,0,0,0,0
