Player,S/C,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI/GP,FOW%
Wayne Gretzky,L,C,208,122,260,382,91,66,1.84,75,228,35,125,12,29,4,24,699,17.5,,
Mark Messier,L,C,236,109,186,295,52,244,1.25,71,184,24,92,14,19,0,14,671,16.2,,
Jari Kurri,R,R,200,106,127,233,101,123,1.17,71,146,25,66,10,21,2,14,527,20.1,,60.0
Glenn Anderson,L,R,225,93,121,214,63,442,0.95,70,162,22,51,1,1,5,17,554,16.8,,
Jaromir Jagr,L,R,208,78,123,201,30,163,0.97,52,134,24,65,2,2,4,16,682,11.4,,60.0
Sidney Crosby,L,C,180,71,130,201,18,83,1.12,51,126,20,75,0,0,1,9,542,13.1,,51.7
Paul Coffey,L,D,194,59,137,196,53,264,1.01,32,101,21,87,6,8,0,8,616,9.6,,
Brett Hull,R,R,202,103,87,190,13,73,0.94,61,117,38,69,4,4,3,24,803,12.8,,25.0
Joe Sakic,L,C,172,84,104,188,-2,78,1.09,53,103,27,80,4,5,8,19,582,14.4,,52.4
Doug Gilmour,L,C,182,60,128,188,27,235,1.03,38,104,20,73,2,11,3,13,367,16.4,,51.4
Steve Yzerman,R,C,196,70,115,185,-11,84,0.94,40,98,27,76,3,11,1,12,584,12.0,,60.1
Nicklas Lidstrom,L,D,263,54,129,183,61,76,0.7,21,66,30,111,3,6,1,11,656,8.2,,
Bryan Trottier,L,C,221,71,111,182,31,277,0.82,49,116,18,58,4,8,1,12,472,15.0,,
Evgeni Malkin,L,C,177,67,113,180,6,242,1.02,38,97,28,81,1,2,2,13,608,11.0,,46.6
Ray Bourque,L,D,214,41,139,180,27,171,0.84,26,88,15,89,0,3,0,4,814,5.0,,100.0
Jean Beliveau,L,C,162,79,97,176,27,211,1.09,53,105,26,71,0,0,1,15,365,,,
Sergei Fedorov,L,C,183,52,124,176,38,133,0.96,32,96,15,69,5,11,1,12,603,8.6,,53.0
Denis Savard,R,C,169,66,109,175,17,254,1.04,40,107,24,64,2,4,0,6,487,13.6,,
Mario Lemieux,R,C,107,76,96,172,20,87,1.61,40,86,29,78,7,8,0,11,402,18.9,,46.4
Peter Forsberg,L,C,151,64,107,171,54,163,1.13,46,114,16,54,2,3,3,14,353,18.1,,47.3
Nikita Kucherov,L,R,147,53,114,167,37,114,1.14,34,96,19,71,0,0,2,8,442,12.0,,0.0
Denis Potvin,L,D,185,56,109,165,64,253,0.89,26,77,28,81,2,7,2,7,578,9.7,,
Mike Bossy,R,R,129,85,75,160,34,38,1.24,50,84,35,76,0,0,3,17,436,19.5,,
Gordie Howe,R,R,157,68,92,160,5,220,1.02,49,100,15,56,4,4,0,11,301,,,
Bobby Smith,L,C,184,64,96,160,-17,238,0.87,40,96,24,64,0,0,2,13,455,14.1,,
Al MacInnis,R,D,177,39,121,160,11,255,0.9,13,60,26,97,0,3,1,5,664,5.9,,0.0
Claude Lemieux,R,R,234,80,78,158,41,529,0.68,59,110,21,45,0,3,3,19,730,11.0,,44.4
Adam Oates,R,C,163,42,114,156,-12,66,0.96,23,90,17,62,2,4,1,7,312,13.5,,60.2
Larry Murphy,R,D,215,37,115,152,32,201,0.71,14,78,20,67,3,7,0,7,504,7.3,,100.0
Stan Mikita,R,C,155,59,91,150,-8,169,0.97,39,93,18,54,2,3,1,11,496,,,
