Player,Season,Team,S/C,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI/GP,FOW%
Nathan MacKinnon,20242025,COL,R,C,37,14,46,60,9,25,1.62,11,42,3,18,0,0,1,3,142,9.9,,47.0
Leon Draisaitl,20242025,EDM,L,C,36,26,29,55,18,10,1.53,19,39,7,16,0,0,4,8,110,23.6,,55.8
Nikita Kucherov,20242025,TBL,L,R,32,17,37,54,12,19,1.69,15,32,2,22,0,0,0,4,111,15.3,,
Mikko Rantanen,20242025,COL,L,R,37,20,33,53,6,24,1.43,14,37,6,16,0,0,0,5,99,20.2,,53.3
Connor McDavid,20242025,EDM,L,C,33,15,37,52,9,10,1.58,10,36,5,16,0,0,0,2,102,14.7,,46.0
Kirill Kaprizov,20242025,MIN,L,L,34,23,27,50,21,14,1.47,20,39,3,11,0,0,1,4,120,19.2,,0.0
Mitch Marner,20242025,TOR,R,R,37,13,37,50,2,8,1.35,7,30,5,19,1,1,1,3,94,13.8,,20.0
Kyle Connor,20242025,WPG,L,L,37,22,27,49,9,17,1.32,12,32,9,16,1,1,1,4,124,17.7,,0.0
Jack Eichel,20242025,VGK,R,C,36,10,38,48,21,6,1.33,8,32,1,14,1,2,0,1,105,9.5,,47.1
Jesper Bratt,20242025,NJD,L,L,39,14,33,47,12,12,1.21,9,28,4,18,1,1,0,0,88,15.9,,0.0
Jack Hughes,20242025,NJD,L,C,39,15,31,46,11,6,1.18,10,25,5,20,0,1,1,6,141,10.6,,35.9
Sam Reinhart,20242025,FLA,R,C,37,22,23,45,8,8,1.22,11,25,7,15,4,5,0,1,92,23.9,,41.0
Cale Makar,20242025,COL,R,D,37,11,34,45,10,6,1.22,4,25,6,19,1,1,0,3,118,9.3,,
Mark Scheifele,20242025,WPG,R,C,37,22,22,44,6,23,1.19,18,30,4,14,0,0,1,6,85,25.9,,48.8
Martin Necas,20242025,CAR,R,C,36,14,30,44,0,8,1.22,7,25,7,19,0,0,0,5,85,16.5,,44.1
Brayden Point,20242025,TBL,R,C,30,23,20,43,5,2,1.43,12,25,11,18,0,0,2,5,72,31.9,,51.1
Quinn Hughes,20242025,VAN,L,D,34,8,34,42,14,21,1.24,7,26,1,16,0,0,0,1,109,7.3,,
William Nylander,20242025,TOR,R,R,37,23,18,41,0,12,1.11,16,23,7,18,0,0,0,5,128,18.0,,47.2
Brandon Hagel,20242025,TBL,L,L,34,17,24,41,14,28,1.21,15,32,0,5,2,4,0,1,89,19.1,,42.9
Travis Konecny,20242025,PHI,R,R,37,16,25,41,-1,35,1.11,9,31,6,8,1,2,0,2,89,18.0,,37.1
Kirill Marchenko,20242025,CBJ,R,R,37,14,26,40,17,12,1.08,13,27,1,13,0,0,0,1,107,13.1,,31.0
