Team,Season,GP,W,L,T,OT,P,P%,RW,ROW,S/O Win,GF,GA,GF/GP,GA/GP,PP%,PK%,Net PP%,Net PK%,Shots/GP,SA/GP,FOW%
Winnipeg Jets,20242025,37,26,10,,1,53,0.716,22,26,0,137,91,3.7,2.46,32.2,78.2,31.3,81.2,28.4,29.3,49.2
Vegas Golden Knights,20242025,36,25,8,,3,53,0.736,22,24,1,128,98,3.56,2.72,25.3,81.0,23.0,87.3,30.6,28.1,51.7
New Jersey Devils,20242025,39,24,12,,3,51,0.654,23,24,0,130,98,3.33,2.51,30.6,82.6,28.8,86.2,30.0,25.5,50.5
Washington Capitals,20242025,36,24,10,,2,50,0.694,21,24,0,132,95,3.67,2.64,21.7,83.0,19.8,85.7,28.1,27.3,50.1
Minnesota Wild,20242025,37,22,11,,4,48,0.649,17,21,1,107,99,2.89,2.68,17.0,70.0,14.9,72.2,28.1,28.8,48.4
Los Angeles Kings,20242025,36,21,10,,5,47,0.653,20,21,0,113,94,3.14,2.61,16.7,81.3,14.4,83.2,27.5,24.6,51.0
Toronto Maple Leafs,20242025,37,22,13,,2,46,0.622,18,22,0,115,105,3.11,2.84,20.4,81.4,17.6,83.1,28.7,29.1,52.3
Florida Panthers,20242025,37,22,13,,2,46,0.622,18,20,2,124,116,3.35,3.14,26.1,81.0,20.0,90.5,30.8,26.7,48.3
Carolina Hurricanes,20242025,36,22,13,,1,45,0.625,20,22,0,125,101,3.47,2.81,25.7,85.7,23.9,88.4,31.9,25.1,52.4
Edmonton Oilers,20242025,36,21,12,,3,45,0.625,14,21,0,117,104,3.25,2.89,23.7,76.5,21.5,78.8,31.8,26.4,53.0
Colorado Avalanche,20242025,37,22,15,,0,44,0.595,19,21,1,124,121,3.35,3.27,23.7,77.6,21.1,79.6,29.4,27.0,44.4
Boston Bruins,20242025,38,20,14,,4,44,0.579,14,20,0,101,115,2.66,3.03,13.2,76.0,10.1,77.6,27.7,26.7,52.8
Dallas Stars,20242025,35,21,13,,1,43,0.614,19,20,1,111,89,3.17,2.54,15.4,84.7,12.0,86.7,31.0,26.4,51.6
Tampa Bay Lightning,20242025,34,20,12,,2,42,0.618,17,20,0,134,96,3.94,2.82,26.9,81.4,21.2,88.7,28.0,28.8,50.9
Vancouver Canucks,20242025,35,17,10,,8,42,0.6,14,17,0,111,111,3.17,3.17,23.0,81.3,19.0,82.2,25.8,28.2,50.2
Calgary Flames,20242025,36,17,12,,7,41,0.569,12,14,3,95,109,2.64,3.03,21.0,72.2,16.0,74.1,29.5,29.5,44.9
Ottawa Senators,20242025,36,19,15,,2,40,0.556,14,19,0,110,102,3.06,2.83,25.0,77.5,24.2,80.4,30.4,27.5,53.1
Pittsburgh Penguins,20242025,38,17,16,,5,39,0.513,11,16,1,117,139,3.08,3.66,25.9,83.0,25.0,85.9,28.9,31.6,52.1
St. Louis Blues,20242025,38,17,17,,4,38,0.5,11,16,1,99,115,2.61,3.03,14.9,74.5,12.6,76.5,26.5,28.3,48.5
Utah Hockey Club,20242025,35,16,13,,6,38,0.543,11,16,0,103,101,2.94,2.89,21.8,80.2,20.8,81.8,27.2,28.5,51.3
Philadelphia Flyers,20242025,37,16,17,,4,36,0.486,8,13,3,112,134,3.03,3.62,14.7,77.9,11.8,79.8,27.2,27.2,51.5
Columbus Blue Jackets,20242025,37,15,16,,6,36,0.486,13,14,1,122,133,3.3,3.59,21.0,75.0,19.0,78.7,30.1,29.0,47.9
Montréal Canadiens,20242025,36,16,17,,3,35,0.486,13,15,1,109,124,3.03,3.44,21.4,82.5,18.8,85.7,25.1,29.3,49.0
New York Islanders,20242025,37,14,16,,7,35,0.473,11,12,2,99,118,2.68,3.19,11.5,63.3,9.4,67.1,28.6,28.7,55.5
Seattle Kraken,20242025,37,16,19,,2,34,0.459,12,15,1,105,116,2.84,3.14,18.0,79.3,17.1,79.3,26.8,28.5,48.8
New York Rangers,20242025,35,16,18,,1,33,0.471,16,16,0,98,108,2.8,3.09,17.9,84.2,14.7,88.6,29.9,31.7,54.3
Buffalo Sabres,20242025,37,14,19,,4,32,0.432,11,13,1,113,123,3.05,3.32,16.0,78.0,14.2,80.5,27.3,28.9,48.5
Detroit Red Wings,20242025,36,14,18,,4,32,0.444,11,13,1,93,118,2.58,3.28,22.9,69.7,20.0,70.7,25.1,29.8,50.6
Anaheim Ducks,20242025,35,14,17,,4,32,0.457,10,12,2,86,108,2.46,3.09,12.7,74.0,10.0,74.0,28.4,31.9,43.5
Nashville Predators,20242025,36,11,18,,7,29,0.403,9,11,0,88,114,2.44,3.17,19.2,86.9,16.4,87.9,29.2,29.5,51.8
San Jose Sharks,20242025,39,11,22,,6,28,0.359,7,11,0,105,138,2.69,3.54,18.2,79.1,14.9,80.6,27.4,32.6,49.0
Chicago Blackhawks,20242025,37,12,23,,2,26,0.351,10,11,1,93,123,2.51,3.32,22.3,85.5,19.2,86.4,25.4,29.9,43.7
